Id,ELEMID,ENTINAME,price
2746,510100I0000005381,中国中铁二局第四工程有限公司,5648.1855
2573,510100I0000004980,紫瑞街一巷35号院,5651.9683
6245,510100I0000055953,福博苑,5652.0005
4365,510100I0000047832,温江二中园丁小区（B区）,5656.7456
2504,510100I0000004873,福音巷27号院,5666.362
6001,510100I0000055510,何公路1号院,5671.0005
6079,510100I0000055621,新南街318号院,5675.5825
2794,510100I0000005465,政府中路108号院,5681.7783
4326,510100I0000046490,民族花园,5686.5054
9246,510100I0000064902,东升街道花月街社区小区,5691.795
2576,510100I0000004983,紫瑞街49号院,5701.596
8156,510100I0000062029,杨柳小区(西院),5707.8906
2800,510100I0000005474,政府中路91号1号院,5716.3447
6036,510100I0000055568,景寓家苑,5718.5586
3628,510100I0000007838,大南街69号院,5719.5083
4327,510100I0000046504,川化三村,5719.677
2853,510100I0000005575,青白江华庭B区,5720.184
6325,510100I0000056116,和兴街1号院,5720.5605
2644,510100I0000005072,桂湖西路74号院,5722.547
3714,510100I0000008002,大同上郡西区,5726.0024
8804,510100I0000064031,联谊公司宿舍,5731.0015
2865,510100I0000005593,青江苑,5732.7666
2991,510100I0000006080,政府中路91号4号院,5733.767
3552,510100I0000007710,金江花园,5735.8022
2925,510100I0000005686,攀钢集团九千生活区,5736.9014
6607,510100I0000056696,天府小区,5740.273
2919,510100I0000005666,四季宜家小区,5743.0107
6077,510100I0000055619,阿坝州税务局郫都区干休一所,5760.9976
6367,510100I0000056174,岷阳小区,5761.701
2777,510100I0000005435,怡湖西路257号院,5768.056
6069,510100I0000055609,一环路东南段249附2号院,5771
2793,510100I0000005464,政府中路118号院,5779.1235
2980,510100I0000006011,玉龙小区,5780.0005
15343,510100I0000081622,柳城大道东段13号院,5780.375
3582,510100I0000007762,金强公寓,5781.5713
6303,510100I0000056091,文庙巷8号院,5788.981
8084,510100I0000061605,百花苑,5792.0015
2575,510100I0000004982,东环路97号院,5792.6865
2753,510100I0000005391,/,5793.001
2603,510100I0000005018,工贸小区,5795.383
2866,510100I0000005594,安居东苑,5805.284
4310,510100I0000046412,正兴小区,5805.4834
6681,510100I0000056811,和信·玲珑府,5807.6875
6111,510100I0000055679,望丛中路69号院,5814.998
3477,510100I0000007594,中国工商银行四川分行营业部干部学校教工宿舍,5816.1514
2505,510100I0000004874,菜市巷14号院,5817.1826
6075,510100I0000055616,新南街106号院,5818.997
3660,510100I0000007883,文武路27号院,5820.0073
2992,510100I0000006082,政府中路91号院2栋,5820.7295
2789,510100I0000005458,成都攀钢集团钢铁厂宿舍老小区,5829.5903
7843,510100I0000059363,中国水利水电第七工程局有限公司三分局物流管理公司,5831.997
6103,510100I0000055657,郫县电信局宿舍,5833.878
2585,510100I0000004994,状元街二巷3号院,5834.8906
2494,510100I0000004850,新桂东五四小区,5836.238
7759,510100I0000059217,杨柳小区(东院),5843.94
2923,510100I0000005683,荣生园,5848.1045
6102,510100I0000055654,郫县教育局宿舍,5851
4285,510100I0000037347,团结巷15号院,5851.4517
3648,510100I0000007869,金里小区,5853.8857
2765,510100I0000005413,青白江怡苑,5862.9985
2779,510100I0000005439,永兴小区,5865.5483
2990,510100I0000006079,政府中路91号院8号院,5873.755
6309,510100I0000056097,金豪雅庭,5876.2812
2650,510100I0000005080,上升二巷2号院,5876.651
6082,510100I0000055626,望从小区,5877.397
2525,510100I0000004907,东环路47号院,5882.0005
2933,510100I0000005803,团结花园,5884.0034
6110,510100I0000055678,保险公司宿舍,5885.3896
2465,510100I0000004812,丰收湾,5886.0015
2119,510100I0000004229,百花小区,5893.1626
3187,510100I0000006658,丽景东湖,5893.2915
2749,510100I0000005385,青白江华庭A区,5895.8613
3008,510100I0000006131,教育街12号院,5897.936
2958,510100I0000005893,逸舟花园,5908.0015
3557,510100I0000007717,金江苑,5913.097
3007,510100I0000006130,教育街22号院,5913.193
6159,510100I0000055743,杜鹃园,5916.109
2734,510100I0000005358,红阳花园,5922.7764
2738,510100I0000005364,红卫团小宿舍,5924.6743
1884,510100I0000003852,子云花都,5925.2905
2880,510100I0000005618,华逸花园,5926.415
2854,510100I0000005578,香林名宅,5926.6865
1628,510100I0000003013,/,5930.9326
3465,510100I0000007571,雅砻江水运局宿舍,5931.3677
5773,510100I0000055020,银丰园颐香区,5938.3237
2769,510100I0000005425,粮贸宿舍,5938.6245
2680,510100I0000005122,湖滨路院,5951.9995
1632,510100I0000003019,鹃城村十组居民住宅,5952.3115
6061,510100I0000055600,南大街1号院,5953.09
2804,510100I0000005478,政府中路91号院12栋,5954.3955
2998,510100I0000006110,红阳巷4号院,5962.533
2609,510100I0000005025,东环路66号院,5966.3433
2778,510100I0000005438,金色花园,5966.998
3509,510100I0000007639,云凤横街1号院,5970.9717
3642,510100I0000007857,福蔓小院,5972.0933
3011,510100I0000006138,九千朝阳,5974.4346
2788,510100I0000005457,攀钢集团青白江医院宿舍独幢,5976.4346
6231,510100I0000055930,三九八家属院,5976.6626
2570,510100I0000004977,紫瑞街一巷109号院,5979.9644
2801,510100I0000005475,政府中路91号院3栋,5981.6123
6252,510100I0000055966,郫筒镇政府宿舍,5981.6465
2930,510100I0000005694,青江西路97号院,5982.799
2517,510100I0000004893,桂湖东路一巷院,5986.966
3439,510100I0000007535,"柳浪湾5号院
",5988.998
3506,510100I0000007636,柳城大道东段43号院,5990.1177
2441,510100I0000004781,广场丽苑,5991.272
3299,510100I0000006993,毗河新城,5992.386
2719,510100I0000005340,城市花园,5992.421
2752,510100I0000005390,新天地,5992.861
9077,510100I0000064520,广场路56号院,5992.9985
2645,510100I0000005073,桂湖西路30号院,5995.273
2792,510100I0000005462,政和雅苑,5996.8687
2802,510100I0000005476,政府中路91号院5栋,5997.875
3666,510100I0000007890,舒馨苑,5998.2007
3223,510100I0000006720,唐风苑,5999.9976
2806,510100I0000005480,政府中路91号院6栋,6000.2383
6301,510100I0000056089,水电七局江西巷住宅楼,6004.251
2743,510100I0000005374,蜀青雅居,6006.0205
6132,510100I0000055706,景德一巷2号院,6006.106
2764,510100I0000005410,怡湖西路4号院,6007.109
19773,510100I0000092368,越秀亲爱里,6009.1255
15331,510100I0000081601,景阳巷8号院,6010.9995
3667,510100I0000007891,同兴苑,6011.006
3635,510100I0000007846,灵犀花园,6016.1323
2935,510100I0000005810,文体花园,6017.154
2228,510100I0000004414,荷塘月色,6023.9863
2468,510100I0000004815,新加坡商业街226号院,6024.7905
3585,510100I0000007771,永康路51号院,6024.9976
3443,510100I0000007540,"温江二中园丁小区(A区)
",6027.193
6340,510100I0000056133,老西街55号院,6027.917
2557,510100I0000004957,桂湖东路三巷2号院,6028.441
4373,510100I0000047848,国税局家属院,6028.5615
2636,510100I0000005062,西横街40号院,6030.999
2564,510100I0000004966,紫瑞花园,6032
2999,510100I0000006111,青江西路101号院,6033.0703
2417,510100I0000004727,庆光小区,6033.4907
2374,510100I0000004639,新中社区,6038.274
2448,510100I0000004794,东街172号院,6040.987
3553,510100I0000007712,成都市第五人民医院教学园区,6042.035
2748,510100I0000005384,青江名城,6042.502
2598,510100I0000005013,东街49号院,6043.8447
2741,510100I0000005368,广场花园,6046.0015
2639,510100I0000005067,状元街二巷12号院,6056.25
2466,510100I0000004813,南苑小区,6058.63
2790,510100I0000005460,中国农业银行,6061.4673
2737,510100I0000005362,阳光花园南苑,6062.341
2258,510100I0000004459,西江苑,6066.1343
2957,510100I0000005892,青水美居一期,6068.5815
2198,510100I0000004374,桃园小区,6079.716
2664,510100I0000005101,永星小区,6080.678
2430,510100I0000004764,宝光大道中段26号院,6082
2759,510100I0000005402,吉力名苑,6082.714
5066,510100I0000052102,圣景苑,6083.5435
6298,510100I0000056086,文庙巷33号院,6084.002
2371,510100I0000004636,桑园二巷16号院,6086.9155
3518,510100I0000007656,食研雅院,6087.2114
2826,510100I0000005522,凤凰铭筑,6088.872
6630,510100I0000056750,汉城小区,6089.3594
2927,510100I0000005691,区医院医师楼、区农牧局宿舍,6090.254
3617,510100I0000007821,迎晖路80号院,6098.513
2413,510100I0000004721,旭光小区,6100.0947
3566,510100I0000007730,自来水公司家属院,6100.997
2936,510100I0000005813,川化五村二区,6101.73
2964,510100I0000005910,川化五村三区,6103.7554
5179,510100I0000052763,维卡国际城,6106.6665
3652,510100I0000007873,大南街65号院,6107.1265
6339,510100I0000056132,宝生街160号院,6108.4727
2437,510100I0000004775,西城苑,6111.1763
6288,510100I0000056066,东顺小区,6115.9976
2142,510100I0000004259,子云西路1_99号院,6116.808
3013,510100I0000006140,红阳巷9号院,6126.517
2736,510100I0000005361,怡家小区,6126.873
3463,510100I0000007569,温江农机局家属楼,6127.5806
6059,510100I0000055596,南兴巷教师公寓,6145.3945
2926,510100I0000005690,怡和茗居,6146.673
7768,510100I0000059228,栗苑,6147.001
3934,510100I0000036310,妇联花园,6147.3584
2384,510100I0000004664,桂馨苑,6150.8945
3005,510100I0000006120,怡湖西路2号院,6152.3086
2604,510100I0000005019,东街五巷18号院,6158.096
3661,510100I0000007884,文武路81号院,6161.703
6040,510100I0000055572,晨苑小区,6163.8364
2763,510100I0000005408,教育街127号院,6165.765
2264,510100I0000004470,包家巷91号院,6169.4116
2561,510100I0000004962,紫瑞街60号院,6172.266
3010,510100I0000006134,团结北路18号院,6173.002
6112,510100I0000055680,晨曦院附小区,6174.044
4375,510100I0000047852,柳城大道东段62号院,6178.002
2864,510100I0000005591,/,6178.7324
2774,510100I0000005431,广场馨苑,6179.976
2495,510100I0000004851,桂湖东路86号院,6179.9995
3000,510100I0000006112,青江西路137号院,6182.4873
2731,510100I0000005355,香草洲小区,6183.301
2735,510100I0000005360,凤凰栖小区,6184.7637
5823,510100I0000055200,合兴路84号院,6188.0024
6249,510100I0000055957,一里社区,6190.748
3659,510100I0000007881,五环假日广场,6192.6543
8768,510100I0000063968,三鑫大厦,6200.999
6047,510100I0000055582,卫生局家属院,6204.1523
2771,510100I0000005428,华金大道二段406号院,6208.8047
2756,510100I0000005396,攀钢集团新小区,6214.687
9127,510100I0000064602,三强西路239号院,6221.0024
3009,510100I0000006133,区委宿舍,6221.1084
2929,510100I0000005693,红阳巷8号院,6221.3994
6141,510100I0000055720,荆湘路32号院,6223.0015
3030,510100I0000006180,翡翠港,6224.456
2987,510100I0000006072,怡湖小区,6229.747
2946,510100I0000005868,青江北路177号院,6232.707
2397,510100I0000004690,施营六小区,6234.003
6085,510100I0000055630,新南街178号院,6235.661
2857,510100I0000005583,紫竹居,6237.012
2367,510100I0000004630,猫市巷38号院,6240.0576
3741,510100I0000008053,成钞家园,6240.2007
3748,510100I0000008089,红阳巷2号院,6242.552
2601,510100I0000005016,东街149号院,6243.7007
8627,510100I0000063617,双流区陕西街9号院,6245.9995
6175,510100I0000055800,兴光机械厂宿舍,6248.937
