id,log_price,price,lon,lat
2233,8.251722,3834.2239,103.8782875,30.90631206
2234,9.081557,8791.646,103.9125638,30.87082448
2235,9.094969,8910.35,103.9111337,30.86872162
2236,9.070223,8692.561,103.9132162,30.86710949
2237,9.130778,9235.207,103.9134557,30.86761131
2238,9.137706,9299.406,103.9130189,30.86929092
2239,9.084752,8819.779,103.9124154,30.87012998
2240,9.331717,11290.495,103.9138107,30.87079123
2241,9.17623,9664.653,103.9135925,30.86859308
2242,9.047319,8495.733,103.9133262,30.87111071
2243,9.316996,11125.506,103.9139276,30.86911557
2244,9.181232,9713.116,103.9146967,30.87053573
2245,9.313943,11091.596,103.9144645,30.87080582
2246,8.852781,6993.8135,103.8017372,30.87647122
2247,9.219819,10095.238,103.9130775,30.86474287
2248,9.366724,11692.747,103.91371,30.86618643
2249,9.162285,9530.809,103.9138597,30.86737469
2250,9.048809,8508.398,103.9142042,30.86809036
2251,9.151799,9431.395,103.9144628,30.86852343
2252,9.328638,11255.792,103.9144258,30.8647032
2253,9.276869,10687.913,103.9165705,30.86078327
2254,9.076273,8745.312,103.9120032,30.86311711
2255,8.623301,5559.7065,103.8818849,30.8214631
2256,8.814949,6734.1646,103.8823127,30.82014073
2257,8.710477,6066.1343,103.8791144,30.81773374
2258,8.60322,5449.1777,103.8798422,30.81724181
2259,8.560846,5223.1,103.8873793,30.81801245
2260,8.692835,5960.054,103.8879378,30.8184329
2261,8.603833,5452.52,103.8876152,30.81831501
2262,8.49116,4871.5156,103.8827264,30.81649494
2263,8.727359,6169.4116,103.8823093,30.81680804
2264,8.505728,4943.0005,103.8825008,30.81733538
2265,8.713287,6083.207,103.8828803,30.81710882
2266,8.509771,4963.0283,103.8833283,30.81693638
2267,8.553041,5182.4927,103.8825868,30.81687917
2268,8.548994,5161.56,103.8828923,30.81664405
2269,8.426138,4564.8364,103.8831457,30.8163299
2270,8.570391,5273.19,103.8835532,30.81666962
2271,8.456841,4707.167,103.8837368,30.81636102
2272,8.472385,4780.9062,103.8871163,30.81765052
2273,8.604523,5456.281,103.9223639,30.88574013
2274,8.212831,3687.9663,103.919692,30.88490532
2275,8.202396,3649.6858,103.9198742,30.88329321
2276,8.24555,3810.6313,103.9186713,30.88163929
2277,8.270252,3905.934,103.9224666,30.88220405
2278,8.543217,5131.8257,103.9222772,30.88387908
2279,8.9693165,7858.229,103.9154097,30.88112802
2280,8.528454,5056.6216,103.9169733,30.88194834
2281,8.794705,6599.2114,103.9051487,30.87250441
2282,9.198277,9880.096,103.9064285,30.87342661
2283,9.004505,8139.672,103.906457,30.87112318
2284,9.039697,8431.219,103.9114578,30.87293188
2285,9.236709,10267.189,103.9114301,30.87155926
2286,9.339813,11382.282,103.914465,30.87283295
2287,9.1912,9810.418,103.9140422,30.87305383
2288,9.201532,9912.308,103.9138971,30.87345985
2289,9.148404,9399.428,103.9136853,30.87313606
2290,9.146301,9379.684,103.913717,30.87360608
2291,8.937785,7614.3135,103.9144273,30.87506223
2292,9.364809,11670.377,103.9119194,30.87454126
2293,9.102582,8978.444,103.9133988,30.87607637
2294,9.242086,10322.553,103.9121942,30.87397167
2295,9.203498,9931.809,103.9126063,30.87346785
2296,9.154426,9456.197,103.912987,30.87304201
2297,9.257713,10485.13,103.9131311,30.87392516
